Time,Amount,Balance,"Balance, USD",Price
2019-06-01 12:14:04+00:00,1713.25740939,"14,430.76468508 BTC","$123,088,111 @ $8,529.56",8529.56
2019-06-01 02:23:30+00:00,1768.69110866,"12,717.50727569 BTC","$108,683,416 @ $8,545.97",8545.97
2019-05-31 18:15:55+00:00,1989.69379013,"10,948.81616703 BTC","$92,152,408 @ $8,416.66",8416.66
2019-05-31 10:50:55+00:00,1562.42360354,"8,959.1223769 BTC","$74,009,902 @ $8,260.84",8260.84
2019-05-31 00:34:22+00:00,1.21606751,"7,396.69877336 BTC","$61,665,970 @ $8,336.96",8336.96
2019-05-31 00:19:30+00:00,2000.0,"7,395.48270585 BTC","$61,655,831 @ $8,336.96",8336.96
2019-05-29 09:12:35+00:00,-72093.99321373,"5,395.48270585 BTC","$46,677,537 @ $8,651.23",8651.23
2019-05-29 09:00:20+00:00,-15209.0828555,"77,489.47591958 BTC","$666,441,318 @ $8,600.41",8600.41
2019-05-25 22:33:43+00:00,1729.94922385,"92,698.55877508 BTC","$745,513,296 @ $8,042.34",8042.34
2019-05-25 12:13:31+00:00,-2000.0,"90,968.60955123 BTC","$731,717,366 @ $8,043.62",8043.62
2019-05-23 22:41:45+00:00,1657.80663323,"92,968.60955123 BTC","$734,215,038 @ $7,897.45",7897.45
2019-05-23 16:29:06+00:00,2007.72684877,"91,310.802918 BTC","$712,407,463 @ $7,802.01",7802.01
2019-05-21 18:50:44+00:00,1575.93547844,"89,303.07606923 BTC","$714,000,521 @ $7,995.25",7995.25
2019-05-16 20:27:05+00:00,1990.32089088,"87,727.14059079 BTC","$688,781,027 @ $7,851.4",7851.4
2019-05-16 11:52:54+00:00,256.38657592,"85,736.81969991 BTC","$675,935,806 @ $7,883.85",7883.85
2019-05-16 11:52:20+00:00,4000.0,"85,480.43312399 BTC","$673,914,494 @ $7,883.85",7883.85
2019-05-16 10:57:10+00:00,-6824.47774564,"81,480.43312399 BTC","$642,627,099 @ $7,886.89",7886.89
2019-05-15 18:10:53+00:00,2724.79240383,"88,304.91086963 BTC","$721,784,640 @ $8,173.78",8173.78
2019-05-15 13:23:04+00:00,2700.67663075,"85,580.1184658 BTC","$682,054,489 @ $7,969.78",7969.78
2019-05-15 13:06:58+00:00,2000.0,"82,879.44183505 BTC","$660,530,698 @ $7,969.78",7969.78
2019-04-02 16:11:12+00:00,-10527.3398949,"80,879.4384839 BTC","$382,889,236 @ $4,734.07",4734.07
2019-04-02 10:09:38+00:00,-10835.01400925,"91,406.7783788 BTC","$437,476,441 @ $4,786.04",4786.04
2019-03-28 00:15:34+00:00,6025.66379058,"102,241.79235967 BTC","$412,585,480 @ $4,035.39",4035.39
2019-03-13 00:27:08+00:00,6056.46879075,"96,216.12855363 BTC","$373,179,013 @ $3,878.55",3878.55
2019-03-08 12:44:28+00:00,6495.35854693,"90,159.65976288 BTC","$351,669,549 @ $3,900.52",3900.52
2019-02-27 11:03:21+00:00,6057.18968917,"83,664.30121595 BTC","$320,519,696 @ $3,831.02",3831.02
2019-02-23 00:31:13+00:00,6509.62411794,"77,607.11152678 BTC","$308,128,339 @ $3,970.36",3970.36
2019-02-18 04:20:44+00:00,4894.33943696,"71,097.48740884 BTC","$263,834,283 @ $3,710.88",3710.88
2019-02-18 03:55:51+00:00,2000.0,"66,203.14797188 BTC","$246,394,349 @ $3,721.79",3721.79
2019-02-06 16:37:25+00:00,-14121.1108051,"64,203.14797188 BTC","$218,000,038 @ $3,395.47",3395.47
2019-02-05 12:57:50+00:00,97.01888307,"78,324.25877698 BTC","$270,062,763 @ $3,448.01",3448.01
2019-02-05 12:35:21+00:00,6000.0,"78,227.23989391 BTC","$269,728,241 @ $3,448.01",3448.01
2019-01-17 00:25:47+00:00,6318.39700701,"72,227.23988845 BTC","$262,258,422 @ $3,631.02",3631.02
2019-01-15 06:49:26+00:00,6391.81757105,"65,908.84288144 BTC","$242,550,213 @ $3,680.09",3680.09
2019-01-15 02:19:40+00:00,-8199.70110659,"59,517.02531039 BTC","$219,460,709 @ $3,687.36",3687.36
2019-01-11 12:53:33+00:00,6106.41688656,"67,716.72641698 BTC","$247,716,326 @ $3,658.13",3658.13
2019-01-05 20:11:16+00:00,7102.66594875,"61,610.30953042 BTC","$238,981,941 @ $3,878.93",3878.93
2018-12-23 18:35:56+00:00,6824.47774564,"54,507.64356148 BTC","$219,510,291 @ $4,027.15",4027.15
2018-12-19 12:26:19+00:00,6228.22791459,"47,683.16581584 BTC","$187,660,313 @ $3,935.57",3935.57
2018-12-11 03:17:25+00:00,-8327.4592083,"41,454.93790125 BTC","$144,959,827 @ $3,496.8",3496.8
2018-12-11 02:21:06+00:00,-3791.64906586,"49,782.39710955 BTC","$173,417,261 @ $3,483.51",3483.51
2018-12-08 06:36:14+00:00,6299.11197143,"53,574.04616653 BTC","$186,739,945 @ $3,485.64",3485.64
2018-12-06 06:40:55+00:00,6404.60883092,"47,274.9341951 BTC","$182,290,965 @ $3,855.98",3855.98
2018-11-29 20:38:44+00:00,6430.34517056,"40,870.32535641 BTC","$172,167,402 @ $4,212.53",4212.53
2018-11-21 10:53:38+00:00,-11543.26455071,"34,439.98018585 BTC","$158,961,959 @ $4,615.62",4615.62
2018-11-21 07:39:59+00:00,7724.89740773,"45,983.18473656 BTC","$210,506,999 @ $4,577.91",4577.91
2018-11-20 19:29:37+00:00,6396.21318107,"38,258.28711253 BTC","$167,866,089 @ $4,387.71",4387.71
2018-11-20 10:14:20+00:00,-109234.33,"31,862.07393146 BTC","$142,762,773 @ $4,480.65",4480.65
2018-11-15 17:56:50+00:00,8199.70107305,"141,096.40389792 BTC","$789,858,610 @ $5,598.01",5598.01
2018-11-15 17:11:17+00:00,-4662.08677271,"132,896.70282487 BTC","$743,956,629 @ $5,598.01",5598.01
2018-11-15 14:59:58+00:00,-2000.0,"137,558.78956115 BTC","$756,075,769 @ $5,496.38",5496.38
2018-11-15 14:30:27+00:00,6327.45917187,"139,558.78956115 BTC","$767,068,534 @ $5,496.38",5496.38
2018-11-15 10:41:19+00:00,7791.64906586,"133,231.33038928 BTC","$735,032,186 @ $5,516.96",5516.96
2018-11-15 10:13:37+00:00,6710.93959866,"125,439.68132342 BTC","$692,045,954 @ $5,516.96",5516.96
2018-11-15 08:47:20+00:00,2832.32495205,"118,728.74172476 BTC","$671,742,496 @ $5,657.79",5657.79
2018-11-15 06:47:07+00:00,58336.04280062,"115,896.41677271 BTC","$655,558,501 @ $5,656.42",5656.42
2018-11-14 12:21:45+00:00,-118.78157454,"57,560.37394037 BTC","$363,015,568 @ $6,306.69",6306.69
2018-10-29 00:25:04+00:00,196.23975008,"57,679.15439825 BTC","$373,687,910 @ $6,478.73",6478.73
2018-10-29 00:16:10+00:00,2000.0,"57,482.91464817 BTC","$372,416,525 @ $6,478.73",6478.73
2018-10-20 19:20:42+00:00,2465.8456694,"55,482.91452042 BTC","$362,752,600 @ $6,538.1",6538.1
