Time,Amount,Balance,"Balance, USD",Price
2019-03-05 22:31:44+00:00,10.0,"11,024.6223304 BTC","$42,488,656 @ $3,853.98",3853.98
2019-03-04 22:14:43+00:00,41.0,"11,014.6223304 BTC","$40,978,049 @ $3,720.33",3720.33
2019-03-03 17:21:17+00:00,72.0,"10,973.6223304 BTC","$41,791,192 @ $3,808.33",3808.33
2019-03-01 21:19:06+00:00,81.0,"10,901.6223304 BTC","$41,912,927 @ $3,844.65",3844.65
2019-02-27 21:35:53+00:00,33.0,"10,820.6223304 BTC","$40,798,030 @ $3,770.4",3770.4
2019-02-26 22:54:44+00:00,334.0,"10,787.6223304 BTC","$41,160,868 @ $3,815.56",3815.56
2019-02-14 00:28:30+00:00,4934.6199904,"10,453.6223304 BTC","$37,798,522 @ $3,615.83",3615.83
2019-02-13 23:07:14+00:00,4500.0,"5,519.00234 BTC","$19,931,685 @ $3,611.47",3611.47
2019-02-13 19:22:57+00:00,-100.00010999999999,"1,019.00234 BTC","$3,671,093 @ $3,602.63",3602.63
2019-02-12 21:54:36+00:00,1119.0,"1,119.00245 BTC","$4,044,719 @ $3,614.58",3614.58
2019-02-12 21:26:35+00:00,-0.0031100000000000004,0.00245 BTC,"$9 @ $3,614.58",3614.58
2019-02-10 21:58:57+00:00,-0.001,0 BTC,"$0 @ $3,648.74",3648.74
